ciclo,team,points,played,won,draw,loss,goals,goals_taken,goals_diff,points_game,goals_game,goals_tak_game,percentage
2003-2006,Athletico Paranaense,256,172,73,37,62,297,257,40,1.49,1.73,1.49,49.61
2003-2006,Atlético Mineiro,172,134,44,40,50,190,187,3,1.28,1.42,1.4,42.79
2003-2006,Bahia,46,46,12,10,24,59,92,-33,1.0,1.28,2.0,33.33
2003-2006,Botafogo,161,126,41,38,47,171,177,-6,1.28,1.36,1.4,42.59
2003-2006,Brasiliense,41,42,10,11,21,47,67,-20,0.98,1.12,1.6,32.54
2003-2006,Corinthians,267,172,74,43,55,243,222,21,1.55,1.41,1.29,51.74
2003-2006,Coritiba,184,134,49,37,48,171,166,5,1.37,1.28,1.24,45.77
2003-2006,Criciúma,110,92,30,20,42,118,147,-29,1.2,1.28,1.6,39.86
2003-2006,Cruzeiro,269,172,78,35,59,296,245,51,1.56,1.72,1.42,52.13
2003-2006,Figueirense,238,172,63,49,60,236,229,7,1.38,1.37,1.33,46.12
2003-2006,Flamengo,227,172,60,47,65,217,234,-17,1.32,1.26,1.36,43.99
2003-2006,Fluminense,232,172,61,47,64,244,273,-29,1.35,1.42,1.59,44.96
2003-2006,Fortaleza,142,126,36,34,56,155,200,-45,1.13,1.23,1.59,37.57
2003-2006,Goiás,266,172,76,38,58,290,231,59,1.55,1.69,1.34,51.55
2003-2006,Grêmio,156,130,42,30,58,178,193,-15,1.2,1.37,1.48,40.0
2003-2006,Guarani,110,92,28,26,38,107,127,-20,1.2,1.16,1.38,39.86
2003-2006,Internacional,286,172,83,35,54,249,201,48,1.66,1.45,1.17,55.43
2003-2006,Juventude,225,172,60,42,70,225,262,-37,1.31,1.31,1.52,43.6
2003-2006,Palmeiras,193,126,54,31,41,211,182,29,1.53,1.67,1.44,51.06
2003-2006,Paraná,240,172,68,36,68,252,248,4,1.4,1.47,1.44,46.51
2003-2006,Paysandu,146,134,41,31,62,193,245,-52,1.09,1.44,1.83,36.32
2003-2006,Ponte Preta,204,172,55,40,77,214,291,-77,1.19,1.24,1.69,39.53
2003-2006,Santa Cruz,28,38,7,7,24,41,76,-35,0.74,1.08,2.0,24.56
2003-2006,Santos,299,172,86,41,45,322,225,97,1.74,1.87,1.31,57.95
2003-2006,São Caetano,215,172,65,41,66,209,199,10,1.25,1.22,1.16,41.67
2003-2006,São Paulo,296,172,84,44,44,302,209,93,1.72,1.76,1.22,57.36
2003-2006,Vasco,223,172,57,52,63,252,271,-19,1.3,1.47,1.58,43.22
2003-2006,Vitória,104,92,28,20,44,118,151,-33,1.13,1.28,1.64,37.68
2007-2010,América-RN,17,38,4,5,29,24,80,-56,0.45,0.63,2.11,14.91
2007-2010,Athletico Paranaense,207,152,56,39,57,181,198,-17,1.36,1.19,1.3,45.39
2007-2010,Atlético Goianiense,42,38,11,9,18,51,57,-6,1.11,1.34,1.5,36.84
2007-2010,Atlético Mineiro,204,152,56,36,60,220,232,-12,1.34,1.45,1.53,44.74
2007-2010,Avaí,100,76,26,22,28,110,110,0,1.32,1.45,1.45,43.86
2007-2010,Botafogo,214,152,54,52,46,219,202,17,1.41,1.44,1.33,46.93
2007-2010,Ceará,47,38,10,17,11,35,44,-9,1.24,0.92,1.16,41.23
2007-2010,Corinthians,164,114,43,35,36,155,145,10,1.44,1.36,1.27,47.95
2007-2010,Coritiba,98,76,26,20,30,103,108,-5,1.29,1.36,1.42,42.98
2007-2010,Cruzeiro,258,152,77,27,48,243,193,50,1.7,1.6,1.27,56.58
2007-2010,Figueirense,97,76,25,22,29,106,129,-23,1.28,1.39,1.7,42.54
2007-2010,Flamengo,236,152,63,47,42,221,185,36,1.55,1.45,1.22,51.75
2007-2010,Fluminense,223,152,58,49,45,217,179,38,1.47,1.43,1.18,48.9
2007-2010,Goiás,186,152,50,36,66,211,242,-31,1.22,1.39,1.59,40.79
2007-2010,Grêmio,248,152,70,38,44,238,167,71,1.63,1.57,1.1,54.39
2007-2010,Grêmio Barueri,77,76,19,23,34,98,116,-18,1.01,1.29,1.53,33.77
2007-2010,Guarani,37,38,8,13,17,33,53,-20,0.97,0.87,1.39,32.46
2007-2010,Internacional,231,152,65,36,51,210,176,34,1.52,1.38,1.16,50.66
2007-2010,Ipatinga,35,38,9,8,21,37,67,-30,0.92,0.97,1.76,30.7
2007-2010,Juventude,41,38,11,8,19,43,65,-22,1.08,1.13,1.71,35.96
2007-2010,Náutico,131,114,35,26,53,158,188,-30,1.15,1.39,1.65,38.3
2007-2010,Palmeiras,235,152,64,43,45,203,180,23,1.55,1.34,1.18,51.54
2007-2010,Paraná,41,38,11,8,19,42,64,-22,1.08,1.11,1.68,35.96
2007-2010,Portuguesa,38,38,9,11,18,48,70,-22,1.0,1.26,1.84,33.33
2007-2010,Santo André,41,38,11,8,19,46,61,-15,1.08,1.21,1.61,35.96
2007-2010,Santos,212,152,57,41,54,222,208,14,1.39,1.46,1.37,46.49
2007-2010,Sport,134,114,35,29,50,150,171,-21,1.18,1.32,1.5,39.18
2007-2010,São Paulo,272,152,77,41,34,232,151,81,1.79,1.53,0.99,59.65
2007-2010,Vasco,143,114,37,32,45,157,164,-7,1.25,1.38,1.44,41.81
2007-2010,Vitória,142,114,37,31,46,141,149,-8,1.25,1.24,1.31,41.52
2011-2014,América Mineiro,37,38,8,13,17,51,69,-18,0.97,1.34,1.82,32.46
2011-2014,Athletico Paranaense,159,114,43,30,41,146,146,0,1.39,1.28,1.28,46.49
2011-2014,Atlético Goianiense,78,76,19,21,36,87,112,-25,1.03,1.14,1.47,34.21
2011-2014,Atlético Mineiro,236,152,65,41,46,214,173,41,1.55,1.41,1.14,51.75
2011-2014,Avaí,31,38,7,10,21,45,75,-30,0.82,1.18,1.97,27.19
2011-2014,Bahia,178,152,43,49,60,148,178,-30,1.17,0.97,1.17,39.04
2011-2014,Botafogo,206,152,57,35,60,198,188,10,1.36,1.3,1.24,45.18
2011-2014,Ceará,39,38,10,9,19,47,64,-17,1.03,1.24,1.68,34.21
2011-2014,Chapecoense,43,38,11,10,17,39,44,-5,1.13,1.03,1.16,37.72
2011-2014,Corinthians,247,152,66,49,37,180,128,52,1.62,1.18,0.84,54.17
2011-2014,Coritiba,200,152,54,38,60,194,191,3,1.32,1.28,1.26,43.86
2011-2014,Criciúma,78,76,20,18,38,77,119,-42,1.03,1.01,1.57,34.21
2011-2014,Cruzeiro,251,152,73,32,47,239,177,62,1.65,1.57,1.16,55.04
2011-2014,Figueirense,135,114,35,30,49,122,164,-42,1.18,1.07,1.44,39.47
2011-2014,Flamengo,208,152,53,53,46,187,186,1,1.37,1.23,1.22,45.61
2011-2014,Fluminense,247,152,71,34,47,225,173,52,1.62,1.48,1.14,54.17
2011-2014,Goiás,106,76,29,19,28,86,84,2,1.39,1.13,1.11,46.49
2011-2014,Grêmio,245,152,68,41,43,183,149,34,1.61,1.2,0.98,53.73
2011-2014,Internacional,229,152,61,46,45,205,176,29,1.51,1.35,1.16,50.22
2011-2014,Náutico,69,76,19,12,45,66,130,-64,0.91,0.87,1.71,30.26
2011-2014,Palmeiras,124,114,31,31,52,116,152,-36,1.09,1.02,1.33,36.26
2011-2014,Ponte Preta,85,76,21,22,33,74,99,-25,1.12,0.97,1.3,37.28
2011-2014,Portuguesa,89,76,22,27,27,89,87,2,1.17,1.17,1.14,39.04
2011-2014,Santos,216,152,58,42,52,198,172,26,1.42,1.3,1.13,47.37
2011-2014,Sport,93,76,24,21,31,75,102,-27,1.22,0.99,1.34,40.79
2011-2014,São Paulo,245,152,70,35,47,214,163,51,1.61,1.41,1.07,53.73
2011-2014,Vasco,171,114,46,33,35,152,145,7,1.5,1.33,1.27,50.0
2011-2014,Vitória,97,76,26,19,31,96,107,-11,1.28,1.26,1.41,42.54
2015-2018,América Mineiro,68,76,17,17,42,53,105,-52,0.89,0.7,1.38,29.82
2015-2018,Athletico Paranaense,216,152,61,33,58,180,160,20,1.42,1.18,1.05,47.37
2015-2018,Atlético Goianiense,36,38,9,9,20,38,56,-18,0.95,1.0,1.47,31.58
2015-2018,Atlético Mineiro,244,152,69,37,46,234,192,42,1.61,1.54,1.26,53.51
2015-2018,Avaí,85,76,21,22,33,67,108,-41,1.12,0.88,1.42,37.28
2015-2018,Bahia,98,76,25,23,28,89,89,0,1.29,1.17,1.17,42.98
2015-2018,Botafogo,163,114,44,31,39,126,127,-1,1.43,1.11,1.11,47.66
2015-2018,Ceará,44,38,10,14,14,32,38,-6,1.16,0.84,1.0,38.6
2015-2018,Chapecoense,197,152,51,44,57,164,199,-35,1.3,1.08,1.31,43.2
2015-2018,Corinthians,252,152,71,39,42,203,138,65,1.66,1.34,0.91,55.26
2015-2018,Coritiba,133,114,33,34,47,114,135,-21,1.17,1.0,1.18,38.89
2015-2018,Cruzeiro,216,152,58,42,52,173,157,16,1.42,1.14,1.03,47.37
2015-2018,Figueirense,80,76,19,23,34,66,100,-34,1.05,0.87,1.32,35.09
2015-2018,Flamengo,248,152,71,35,46,205,155,50,1.63,1.35,1.02,54.39
2015-2018,Fluminense,189,152,50,39,63,167,193,-26,1.24,1.1,1.27,41.45
2015-2018,Goiás,38,38,10,8,20,39,49,-10,1.0,1.03,1.29,33.33
2015-2018,Grêmio,249,152,70,39,43,196,139,57,1.64,1.29,0.91,54.61
2015-2018,Internacional,172,114,47,31,36,125,108,17,1.51,1.1,0.95,50.29
2015-2018,Joinville,31,38,7,10,21,26,48,-22,0.82,0.68,1.26,27.19
2015-2018,Palmeiras,276,152,81,33,38,247,154,93,1.82,1.62,1.01,60.53
2015-2018,Paraná,23,38,4,11,23,18,57,-39,0.61,0.47,1.5,20.18
2015-2018,Ponte Preta,143,114,38,29,47,126,144,-18,1.25,1.11,1.26,41.81
2015-2018,Santa Cruz,31,38,8,7,23,45,69,-24,0.82,1.18,1.82,27.19
2015-2018,Santos,242,152,68,38,46,206,148,58,1.59,1.36,0.97,53.07
2015-2018,Sport,193,152,51,40,61,183,208,-25,1.27,1.2,1.37,42.32
2015-2018,São Paulo,227,152,61,44,47,191,166,25,1.49,1.26,1.09,49.78
2015-2018,Vasco,140,114,35,35,44,109,149,-40,1.23,0.96,1.31,40.94
2015-2018,Vitória,125,114,32,29,53,137,174,-37,1.1,1.2,1.53,36.55
2019-2022,América Mineiro,106,76,28,22,26,81,77,4,1.39,1.07,1.01,46.49
2019-2022,Athletico Paranaense,222,152,62,36,54,178,161,17,1.46,1.17,1.06,48.68
2019-2022,Atlético Goianiense,139,114,33,40,41,112,138,-26,1.22,0.98,1.21,40.64
2019-2022,Atlético Mineiro,258,152,74,36,42,221,165,56,1.7,1.45,1.09,56.58
2019-2022,Avaí,55,76,12,19,45,52,122,-70,0.72,0.68,1.61,24.12
2019-2022,Bahia,136,114,35,31,48,134,153,-19,1.19,1.18,1.34,39.77
2019-2022,Botafogo,123,114,33,24,57,104,150,-46,1.08,0.91,1.32,35.96
2019-2022,CSA,32,38,8,8,22,24,58,-34,0.84,0.63,1.53,28.07
2019-2022,Ceará,178,152,42,52,58,163,171,-8,1.17,1.07,1.12,39.04
2019-2022,Chapecoense,47,76,8,23,45,58,119,-61,0.62,0.76,1.57,20.61
2019-2022,Corinthians,229,152,60,49,43,171,151,20,1.51,1.12,0.99,50.22
2019-2022,Coritiba,73,76,19,16,41,70,114,-44,0.96,0.92,1.5,32.02
2019-2022,Cruzeiro,36,38,7,15,16,27,46,-19,0.95,0.71,1.21,31.58
2019-2022,Cuiabá,88,76,20,28,28,65,79,-14,1.16,0.86,1.04,38.6
2019-2022,Flamengo,294,152,88,30,34,283,160,123,1.93,1.86,1.05,64.47
2019-2022,Fluminense,234,152,66,36,50,194,167,27,1.54,1.28,1.1,51.32
2019-2022,Fortaleza,207,152,57,36,59,174,177,-3,1.36,1.14,1.16,45.39
2019-2022,Goiás,135,114,35,30,49,127,180,-53,1.18,1.11,1.58,39.47
2019-2022,Grêmio,167,114,45,32,37,161,130,31,1.46,1.41,1.14,48.83
2019-2022,Internacional,248,152,68,44,40,207,147,60,1.63,1.36,0.97,54.39
2019-2022,Juventude,68,76,14,26,36,65,113,-48,0.89,0.86,1.49,29.82
2019-2022,Palmeiras,279,152,79,42,31,236,139,97,1.84,1.55,0.91,61.18
2019-2022,Red Bull Bragantino,153,114,38,39,37,154,145,9,1.34,1.35,1.27,44.74
2019-2022,Santos,225,152,60,45,47,191,165,26,1.48,1.26,1.09,49.34
2019-2022,Sport,80,76,21,17,38,55,87,-32,1.05,0.72,1.14,35.09
2019-2022,São Paulo,231,152,59,54,39,184,152,32,1.52,1.21,1.0,50.66
2019-2022,Vasco,90,76,22,24,30,76,101,-25,1.18,1.0,1.33,39.47
2023-2026,América Mineiro,24,38,5,9,24,42,81,-39,0.63,1.11,2.13,21.05
2023-2026,Athletico Paranaense,98,76,25,23,28,91,89,2,1.29,1.2,1.17,42.98
2023-2026,Atlético Goianiense,30,38,7,9,22,29,58,-29,0.79,0.76,1.53,26.32
2023-2026,Atlético Mineiro,113,76,30,23,23,99,86,13,1.49,1.3,1.13,49.56
2023-2026,Bahia,97,76,27,16,33,99,102,-3,1.28,1.3,1.34,42.54
2023-2026,Botafogo,143,76,41,20,15,117,66,51,1.88,1.54,0.87,62.72
2023-2026,Corinthians,106,76,27,25,24,101,93,8,1.39,1.33,1.22,46.49
2023-2026,Coritiba,30,38,8,6,24,41,73,-32,0.79,1.08,1.92,26.32
2023-2026,Criciúma,38,38,9,11,18,42,61,-19,1.0,1.11,1.61,33.33
2023-2026,Cruzeiro,96,75,24,24,27,77,73,4,1.28,1.03,0.97,42.67
2023-2026,Cuiabá,81,76,20,21,35,69,88,-19,1.07,0.91,1.16,35.53
2023-2026,Flamengo,136,76,39,19,18,117,84,33,1.79,1.54,1.11,59.65
2023-2026,Fluminense,102,76,28,18,30,84,86,-2,1.34,1.11,1.13,44.74
2023-2026,Fortaleza,122,76,34,20,22,98,83,15,1.61,1.29,1.09,53.51
2023-2026,Goiás,38,38,9,11,18,36,53,-17,1.0,0.95,1.39,33.33
2023-2026,Grêmio,113,76,33,14,29,107,106,1,1.49,1.41,1.39,49.56
2023-2026,Internacional,120,76,33,21,22,99,81,18,1.58,1.3,1.07,52.63
2023-2026,Juventude,45,37,11,12,14,48,58,-10,1.22,1.3,1.57,40.54
2023-2026,Palmeiras,143,76,42,17,17,124,66,58,1.88,1.63,0.87,62.72
2023-2026,Red Bull Bragantino,106,76,27,25,24,93,83,10,1.39,1.22,1.09,46.49
2023-2026,Santos,43,38,11,10,17,39,64,-25,1.13,1.03,1.68,37.72
2023-2026,São Paulo,112,76,31,19,26,93,81,12,1.47,1.22,1.07,49.12
2023-2026,Vasco,95,76,26,17,33,84,107,-23,1.25,1.11,1.41,41.67
2023-2026,Vitória,47,38,13,8,17,45,52,-7,1.24,1.18,1.37,41.23
